Property Id,Address,Customer Id,Customer Name,Total Cost,yearBuilt,Sale Date,Seller,Image
85,"53 W SEYMOUR ST , Philadelphia, PA 19144",26,STERN & EISENBERG  P.C.,"75,880.42",1900,August 2  2016,WILMINGTON TRUST  NATIONAL ASSOCIATION  NOT IN ITS INDIVIDUAL CAPACITY BUT AS TRUSTEE OF ARLP SECURITIZATION TRUST SERIES 2014-2 C/O FAY SERVICING  LLC,http://www.cayugacounty.us/portals/0/realproperty/realproperty%20.jpg?ver=2013-07-08-140316-313
86,"3601 WELSH RD , Philadelphia, PA 19136",26,STERN & EISENBERG  P.C.,"50,502.85",1923,August 2  2016,OCWEN LOAN SERVICING  LLC,https://cdn.vox-cdn.com/thumbor/d8Do8cDvfP8-yAkpw7AlO30_D_Y=/0x0:2225x1460/1200x900/filters:focal(1035x645:1391x1001)/cdn.vox-cdn.com/uploads/chorus_image/image/56017055/MAIN_AERIAL.jpg.0.0.jpg
87,"2853 N MARVINE ST , Philadelphia, PA 19133",26,STERN & EISENBERG  P.C.,"31,253.07",1925,August 2  2016,WELLS FARGO BANK  ASSOCIATION  SUCCESOR BY MERGER TO WELLS FARGO BANK MINNESOTA  NATIONAL ASSOCIATION  SOLELY IN ITS CAPACITY AS TRUSTEE FOR PROVIDENT BANK HOME EQUITY LOAN ASSET-BACKED CERTIFICATES  ,http://i.ndtvimg.com/i/2016-01/us-housing-market_625x300_41453989124.jpg
88,"4466 TOLBUT ST , Philadelphia, PA 19136",27,THE BANK OF NEW YORK MELLON  ET ALS,"39,679.47",1959,August 2  2016,THE BANK OF NEW YORK MELLON FKA THE BANK OF NEW YORK  AS TRUSTEE FOR THE CERTIFICATEHOLDERS OF THE CWABS  INC.  ASSET-BACKED CERTIFICATES  SERIES 2006-15,https://lid.zoocdn.com/354/255/e609f4acfc925d5763d9ec108c86d162d87f9885.jpg
89,"550 GENEVA AVE , Philadelphia, PA 19120",28,THE BANK OF NEW YORK MELLON FKA THE BANK OF NEW YORK  AS TRUSTEE FOR THE CERTIFICATEHOLDERS OF THE CWABS  INC.  ASSET-BACKED CERTIFICATES  SERIES 2007-7,"36,688.31",1942,August 2  2016,THE BANK OF NEW YORK MELLON  ET ALS,"https://i.kinja-img.com/gawker-media/image/upload/s--qUYPy78w--/c_scale,fl_progressive,q_80,w_800/boxfuwqh0qxzigxhhdoh.jpg"
90,"6539 BUIST AVE , Philadelphia, PA 19142",29,THE BANK OF NEW YORK MELLON FKA THE BANK OF NEW YORK  AS TRUSTEE FOR THE CERTIFICATEHOLDERS OF THE CWBAS  INC.  ASSET BACKED CERTIFICATES  SERIES 2006-22,"31,645.14",1925,September 13  2016,THE BANK OF NEW YORK MELLON  ET ALS,http://media.rightmove.co.uk/98k/97015/42181237/97015_CieloNelCapo_IMG_02_0000.jpg
91,"4014 N 7TH ST , Philadelphia, PA 19140",30,U.S. BANK NATIONAL ASSOCIATION  AS TRUSTEE  SUCCESSOR IN INTEREST TO BANK OF AMERICA  NATIONAL ASSOCIATION  AS TRUSTEE  SUCCESSOR BY MERGER TO LASALLE NATIONAL BANK  AS TRUSTEE FOR BCF L.L.C. MORTGAGE,"35,547.45",1945,September 13  2016,U.S. BANK NATIONAL ASSOCIATION  ET AL.,http://static.atimes.com/uploads/2017/07/iStock-543216454-630x378-1501125918.jpg
92,"215 W GODFREY AVE , Philadelphia, PA 19120",31,U.S. BANK NATIONAL ASSOCIATION  AS TRUSTEE  SUCCESSOR IN INTEREST TO LASALLE BANK NATIONAL ASSOCIATION  AS TRUSTEE FOR LEHMAN XS TRUST MORTGAGE PASS-THROUGH CERTIFICATES  SERIES 2007-10H,"43,131.21",1953,October 4  2016,LEHMAN XS TRUST MORTGAGE PASS-THROUGH CERTIFICATES  SERIES 2007-10H  U.S. BANK NATIONAL ASSOCIATION  AS TRUSTEE  SUCCESSOR IN INTEREST TO LASALLE BANK NATIONAL ASSOCIATION  AS TRUSTEE,http://d3dpze855r5b70.cloudfront.net/homePagePhotos/2017/November/370cb5a7-2d80-469c-9fc6-f32959d175e2-93f1d117-5625-44eb-b2ce-986773bd1ab9CD.jpg
93,"22 E CLAPIER ST , Philadelphia, PA 19144",32,UDREN LAW OFFICES  P.C.,"61,693.13",1900,September 13  2016,LSF9 MASTER PARTICIPATION TRUST,https://dzy14z58ri34g.cloudfront.net/listings/gHuMBl0RbUu_d5662c570638ddf7726236cc9b9da914.jpg
94,"3314 W CUMBERLAND ST , Philadelphia, PA 19132",32,UDREN LAW OFFICES  P.C.,"38,731.53",1923,August 2  2016,REVERSE MORTAGE SOLUTIONS  INC,"https://fthmb.tqn.com/DZxA8nRhgOudVkDKLt7W7oVY440=/1280x857/filters:no_upscale():fill(transparent,1)/126243670-F-56a9385e3df78cf772a4e2c9.jpg"
